"site"	"total"	"project_1"	"project_2"	"project_3"	"ineligible"	"date"
"brown"	18	2	0	15	1	2020-10-22 12:36:00
"uvm"	195	29	39	56	71	2020-10-22 12:36:00
"brown"	18	2	0	15	1	2020-10-22 13:40:00
"uvm"	191	29	39	55	68	2020-10-22 13:40:00
"brown"	18	2	0	15	1	2020-10-23 15:43:00
"uvm"	219	34	41	61	83	2020-10-23 15:43:00
"brown"	18	2	0	15	1	2020-10-26 11:25:05
"uvm"	333	55	63	86	129	2020-10-26 11:25:05
"brown"	18	2	0	15	1	2020-10-26 11:25:12
"uvm"	333	55	63	86	129	2020-10-26 11:25:12
"brown"	18	2	0	15	1	2020-10-28 09:48:26
"uvm"	390	67	72	99	152	2020-10-28 09:48:26
"brown"	18	2	0	15	1	2020-10-28 09:59:33
"uvm"	391	67	72	99	153	2020-10-28 09:59:33
"brown"	18	2	0	15	1	2020-10-28 10:03:13
"uvm"	391	67	72	99	153	2020-10-28 10:03:13
"brown"	18	2	0	15	1	2020-10-28 10:07:21
"uvm"	391	67	72	99	153	2020-10-28 10:07:21
"brown"	18	2	0	15	1	2020-10-28 10:07:53
"uvm"	391	67	72	99	153	2020-10-28 10:07:53
"brown"	18	2	0	15	1	2020-10-28 10:23:52
"uvm"	391	67	72	99	153	2020-10-28 10:23:52
"brown"	18	2	0	15	1	2020-10-28 10:25:13
"uvm"	391	67	72	99	153	2020-10-28 10:25:13
"brown"	18	2	0	15	1	2020-10-28 10:42:52
"uvm"	391	67	72	99	153	2020-10-28 10:42:52
"brown"	18	2	0	15	1	2020-10-28 14:23:18
"uvm"	397	67	72	100	158	2020-10-28 14:23:18
"brown"	18	2	0	15	1	2020-10-28 14:38:46
"uvm"	398	67	72	100	159	2020-10-28 14:38:46
"brown"	18	2	0	15	1	2020-10-29 08:57:51
"uvm"	416	70	74	107	165	2020-10-29 08:57:51
"brown"	18	2	0	15	1	2020-10-29 08:58:16
"uvm"	416	70	74	107	165	2020-10-29 08:58:16
"brown"	18	2	0	15	1	2020-10-29 08:58:45
"uvm"	416	70	74	107	165	2020-10-29 08:58:45
"brown"	18	2	0	15	1	2020-10-29 08:59:09
"uvm"	416	70	74	107	165	2020-10-29 08:59:09
"brown"	18	2	0	15	1	2020-11-02 06:37:10
"uvm"	453	80	80	114	179	2020-11-02 06:37:10
"brown"	18	2	0	15	1	2020-11-02 09:54:18
"uvm"	453	80	80	114	179	2020-11-02 09:54:18
"brown"	18	2	0	15	1	2020-11-04 15:54:58
"uvm"	480	89	84	118	189	2020-11-04 15:54:58
"brown"	18	2	0	15	1	2020-11-04 16:02:16
"uvm"	480	89	84	118	189	2020-11-04 16:02:16
"brown"	18	2	0	15	1	2020-11-04 16:13:01
"uvm"	481	90	84	118	189	2020-11-04 16:13:01
"brown"	18	2	0	15	1	2020-11-04 19:46:43
"uvm"	484	92	84	119	189	2020-11-04 19:46:43
"brown"	18	2	0	15	1	2020-11-04 19:47:44
"uvm"	484	92	84	119	189	2020-11-04 19:47:44
"brown"	18	2	0	15	1	2020-11-04 19:49:32
"uvm"	484	92	84	119	189	2020-11-04 19:49:32
"brown"	18	2	0	15	1	2020-11-04 19:55:12
"uvm"	484	92	84	119	189	2020-11-04 19:55:12
"brown"	18	2	0	15	1	2020-11-04 20:31:28
"uvm"	486	93	84	120	189	2020-11-04 20:31:28
"brown"	18	2	0	15	1	2020-11-04 20:32:27
"uvm"	486	93	84	120	189	2020-11-04 20:32:27
"brown"	18	2	0	15	1	2020-11-04 20:34:16
"uvm"	486	93	84	120	189	2020-11-04 20:34:16
"brown"	18	2	0	15	1	2020-11-04 20:38:12
"uvm"	486	93	84	120	189	2020-11-04 20:38:12
"brown"	18	2	0	15	1	2020-11-04 20:52:57
"uvm"	486	93	84	120	189	2020-11-04 20:52:57
"brown"	18	2	0	15	1	2020-11-13 07:31:15
"uvm"	639	125	115	151	248	2020-11-13 07:31:15
"brown"	18	2	0	15	1	2020-11-16 09:28:24
"uvm"	664	128	120	154	262	2020-11-16 09:28:24
"brown"	18	2	0	15	1	2020-11-16 10:32:04
"uvm"	664	128	120	154	262	2020-11-16 10:32:04
"brown"	18	2	0	15	1	2020-11-16 11:00:04
"uvm"	664	128	120	154	262	2020-11-16 11:00:04
"brown"	18	2	0	15	1	2020-11-17 13:03:18
"uvm"	675	129	124	156	266	2020-11-17 13:03:18
"brown"	18	2	0	15	1	2020-11-17 13:04:28
"uvm"	675	129	124	156	266	2020-11-17 13:04:28
"brown"	18	2	0	15	1	2020-11-17 13:05:10
"uvm"	675	129	124	156	266	2020-11-17 13:05:10
"brown"	18	2	0	15	1	2020-11-17 15:16:32
"uvm"	680	130	124	159	267	2020-11-17 15:16:32
"brown"	18	2	0	15	1	2020-11-18 07:27:18
"uvm"	688	130	127	161	270	2020-11-18 07:27:18
"brown"	33	2	1	18	12	2020-11-23 06:45:14
"uvm"	781	136	130	171	344	2020-11-23 06:45:14
"brown"	33	2	1	18	12	2020-11-23 06:51:22
"uvm"	781	136	130	171	344	2020-11-23 06:51:22
"brown"	51	6	1	27	17	2021-01-22 10:03:48
"uvm"	823	108	145	184	386	2021-01-22 10:03:48
"brown"	51	6	1	27	17	2021-01-22 10:53:46
"uvm"	823	108	145	184	386	2021-01-22 10:53:46
"brown"	51	6	1	27	17	2021-01-22 12:04:26
"uvm"	823	108	145	184	386	2021-01-22 12:04:26
