"name","project","site","pi_prop","numeric","n"
"bp_out_of_range","Project 2","uvm","proper",1,1
"bp_out_of_range","Project 3","uvm","pilot",1,1
"cessation_aids","Project 3","brown","proper",1,2
"daily_ecig_user","Project 2","uvm","proper",1,3
"daily_ecig_user","Project 3","uvm","proper",1,1
"failed_tox_screen","Project 1","uvm","proper",1,1
"failed_tox_screen","Project 3","uvm","proper",1,1
"hr_out_of_range","Project 2","uvm","proper",1,1
"illiterate","Project 2","uvm","proper",1,1
"lmp_ineligible","Project 1","uvm","proper",1,1
"lmp_ineligible","Project 2","uvm","proper",1,1
"lmp_ineligible","Project 3","brown","proper",1,1
"low_co","Project 3","brown","proper",1,2
"low_cpd","Project 1","uvm","proper",1,3
"low_cpd","Project 2","uvm","proper",1,3
"low_cpd","Project 3","brown","proper",1,1
"low_cpd","Project 3","uvm","pilot",1,2
"low_cpd","Project 3","uvm","proper",1,6
"mania","Project 1","uvm","proper",1,1
"mania","Project 3","brown","proper",1,2
"no_psych_disorder","Project 3","brown","proper",1,9
"no_psych_disorder","Project 3","uvm","proper",1,6
"opted_out","Project 1","uvm","proper",1,4
"opted_out","Project 3","brown","proper",1,1
"opted_out","Project 3","uvm","pilot",1,1
"opted_out","Project 3","uvm","proper",1,4
"psychosis","Project 1","uvm","proper",1,1
"psychosis","Project 3","uvm","pilot",1,1
"psychosis","Project 3","uvm","proper",1,2
"suicidal_ideation","Project 3","brown","proper",1,3
"suicidal_ideation","Project 3","uvm","proper",1,1
"suicide_attempt","Project 3","brown","proper",1,2
"suicide_attempt","Project 3","uvm","proper",1,1
"unstable_om_txt","Project 2","uvm","proper",1,1
